Remote,Booth,Station,Line Name,Division,COMPLEX ID,Latitude,Longitude
R001,A060,WHITEHALL ST,R1,BMT,635,40.702068,-74.013664
R001,A058,WHITEHALL ST,R1,BMT,635,40.702068,-74.013664
R001,R101S,SOUTH FERRY,R1,IRT,635,40.702068,-74.013664
R002,A077,FULTON ST,ACJZ2345,BMT,628,40.710368,-74.009509
R002,A081,FULTON ST,ACJZ2345,BMT,628,40.710368,-74.009509
R002,A082,FULTON ST,ACJZ2345,BMT,628,40.710368,-74.009509
R003,J025,CYPRESS HILLS,J,BMT,86,40.689941,-73.87255
R004,J028,ELDERTS LANE,JZ,BMT,85,40.691324,-73.867139
R005,J030,FOREST PARKWAY,J,BMT,84,40.692435,-73.86001
R006,J031,WOODHAVEN BLVD,JZ,BMT,83,40.693879,-73.851576
R006,J032,WOODHAVEN BLVD,JZ,BMT,83,40.693879,-73.851576
R007,J034,104 ST,JZ,BMT,82,40.695178,-73.84433
R008,J035,111 ST,J,BMT,81,40.697418,-73.836345
R009,J037,121 ST,JZ,BMT,80,40.700492,-73.828294
R010,N062A,42 ST-PA BUS TE,ACENQRS1237,IND,611,40.755983,-73.986229
R010,N060,42 ST-PA BUS TE,ACENQRS1237,IND,611,40.755983,-73.986229
R011,N063A,42 ST-PA BUS TE,ACENQRS1237,IND,611,40.755983,-73.986229
R011,N062,42 ST-PA BUS TE,ACENQRS1237,IND,611,40.755983,-73.986229
R011,N063,42 ST-PA BUS TE,ACENQRS1237,IND,611,40.755983,-73.986229
R012,N067,34 ST-PENN STA,ACE,IND,164,40.752287,-73.993391
R012,N065,34 ST-PENN STA,ACE,IND,164,40.752287,-73.993391
R012,N068,34 ST-PENN STA,ACE,IND,164,40.752287,-73.993391
R012,N070,34 ST-PENN STA,ACE,IND,164,40.752287,-73.993391
R012,N072,34 ST-PENN STA,ACE,IND,164,40.752287,-73.993391
R013,N071,34 ST-PENN STA,ACE,IND,164,40.752287,-73.993391
