,complex,area,scp,df_len,dt_min,dt_max,dt_avg_step,tdiff_min,tdiff_med,tdiff_mean,tdiff_max,dt_offset,idiff_min,idiff_med,idiff_mean,idiff_max,idiff_10lgst,idiff_neg_ct,idiff_zero_ct,idiff_pos_ct,idiffpt_min,idiffpt_med,idiffpt_mean,idiffpt_max,inegset_ct,inegset_avg_len,odiff_min,odiff_med,odiff_mean,odiff_max,odiff_10lgst,odiff_neg_ct,odiff_zero_ct,odiff_pos_ct,odiffpt_min,odiffpt_med,odiffpt_mean,odiffpt_max,onegset_ct,onegset_avg_len
0,448,R532H,02-03-01,15017,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:58:56.711726709,0 days 00:00:33,0 days 04:00:00,0 days 03:58:57.670639941,14 days 04:00:00,1,-556188.0,0.0,0.24818538989145636,294354.0,"[556188.0, 294354.0, 1746.0, 1613.0, 1428.0, 1387.0, 1379.0, 1341.0, 1315.0, 1304.0]",1,13103,1913,-556188.0,0.0,0.21520732684665403,294354.0,1.0,1.0,-1010668.0,1.0,1.317506825597656,498549.0,"[1010668.0, 498549.0, 1621.0, 1570.0, 1467.0, 1440.0, 1382.0, 1342.0, 1273.0, 1259.0]",1,6984,8032,-1010668.0,1.0,1.320759395268062,498549.0,1.0,1.0
1,610,R238,00-07-00,4040,2019-10-09 16:00:00,2021-08-06 20:00:00,0 days 03:57:48.118811881,0 days 00:01:05,0 days 04:00:00,0 days 03:57:51.683168316,0 days 12:00:00,0,0.0,2.0,4.206435643564356,48.0,"[48.0, 42.0, 36.0, 36.0, 35.0, 34.0, 33.0, 33.0, 33.0, 32.0]",0,1088,2952,0.0,2.0,4.215524514177258,48.0,0.0,0,0.0,40.0,78.63960396039604,1119.0,"[1119.0, 1080.0, 1051.0, 1044.0, 1002.0, 895.0, 861.0, 836.0, 835.0, 820.0]",0,215,3825,0.0,41.0,79.57484785204537,1119.0,0.0,0
2,321,R130,01-06-01,14836,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 04:01:51.620382852,0 days 00:00:09,0 days 04:00:00,0 days 04:01:52.590994877,14 days 04:00:00,0,-200901408.0,5.0,28.771029927204097,200550914.0,"[200901408.0, 200550914.0, 825218.0, 524268.0, 393208.0, 65610.0, 946.0, 220.0, 215.0, 113.0]",3,2744,12089,-200901408.0,5.0,14.857069820760234,200550914.0,1.0,4.0,-738844212.0,39.0,14.054596926395254,735253875.0,"[738844212.0, 735253875.0, 2836781.0, 6625.0, 2077.0, 1220.0, 710.0, 500.0, 440.0, 417.0]",2,526,14308,-738844212.0,39.0,13.932639142563158,735253875.0,2.0,2.0
3,610,R238,00-00-09,5470,2014-10-11 00:00:00,2017-03-13 12:00:00,0 days 03:52:50.895795246,0 days 00:00:04,0 days 04:00:00,0 days 03:52:53.528336380,14 days 04:00:00,0,0.0,834.0,5961.037659963437,27327334.0,"[27327334.0, 75349.0, 3854.0, 3638.0, 3495.0, 3439.0, 3424.0, 3337.0, 3337.0, 3321.0]",0,55,5415,0.0,890.0,6036.18395585522,27327334.0,0.0,0,0.0,315.0,1423.6414990859232,5919866.0,"[5919866.0, 25732.0, 2203.0, 1451.0, 1439.0, 1267.0, 1243.0, 1224.0, 1170.0, 1130.0]",0,32,5438,0.0,333.0,1437.0146550125382,5919866.0,0.0,0
4,20,A047,00-06-02,15077,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:57:59.657756848,0 days 00:00:49,0 days 04:00:00,0 days 03:58:00.612854016,1 days 04:00:00,0,-6541130.0,28.0,46.83643961000199,5865907.0,"[6541130.0, 5865907.0, 31377.0, 1716.0, 1470.0, 1455.0, 1424.0, 1422.0, 1408.0, 1379.0]",2,1270,13805,-6541130.0,29.0,49.44815208162723,5865907.0,2.0,1.0,-2517549.0,67.0,24.481528155468595,1102504.0,"[2517549.0, 1102504.0, 40435.0, 900.0, 753.0, 737.0, 734.0, 732.0, 712.0, 703.0]",2,1012,14063,-2517549.0,69.0,29.384101281573503,1102504.0,2.0,1.0
5,630,H026,00-05-01,15090,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:57:47.355864811,0 days 00:01:07,0 days 04:00:00,0 days 03:57:48.310139165,1 days 00:00:00,0,0.0,0.0,6.626905235255136e-05,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,15089,1,0.0,0.0,6.626905235255136e-05,1.0,0.0,0,0.0,0.0,0.06600397614314116,586.0,"[586.0, 17.0, 8.0, 5.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0]",0,14753,337,0.0,0.0,0.06665392825716471,586.0,0.0,0
6,286,N412,00-00-00,14917,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 04:00:32.821612924,0 days 00:00:07,0 days 04:00:00,0 days 04:00:33.786954481,14 days 04:00:00,1,0.0,146.0,254.3642823624053,1328567.0,"[1328567.0, 13479.0, 727.0, 670.0, 606.0, 577.0, 565.0, 521.0, 513.0, 509.0]",0,343,14574,0.0,147.0,254.1294913138942,1328567.0,0.0,0,0.0,213.0,335.03009988603606,1823752.0,"[1823752.0, 16740.0, 801.0, 733.0, 696.0, 687.0, 678.0, 677.0, 668.0, 663.0]",0,341,14576,0.0,214.0,334.4848296081061,1823752.0,0.0,0
7,254,N342,01-03-02,15284,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:54:46.260141324,0 days 00:00:18,0 days 04:00:00,0 days 03:54:47.202303062,14 days 04:00:00,0,-4650.0,-28.0,84468.06824129808,1291682206.0,"[1291682206.0, 4650.0, 333.0, 294.0, 289.0, 282.0, 274.0, 273.0, 266.0, 260.0]",14636,647,1,-1422.2222222222222,-29.0,84466.37102698162,1291682206.0,0.5,30566.0,0.0,42.0,20233.388903428422,308395243.0,"[308395243.0, 5254.0, 696.0, 504.0, 332.0, 330.0, 309.0, 302.0, 287.0, 284.0]",0,413,14871,0.0,43.0,20233.918436609845,308395243.0,0.0,0
8,394,R254,01-00-00,14950,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 04:00:00.963210702,0 days 00:00:07,0 days 04:00:00,0 days 04:00:01.926421404,14 days 04:00:00,0,-8796257.0,273.0,309.4519063545151,7832584.0,"[8796257.0, 7832584.0, 40315.0, 3978.0, 2320.0, 2118.0, 2103.0, 1600.0, 1568.0, 1544.0]",2,477,14471,-2932085.6666666665,278.0,705.0768606746998,7832584.0,2.0,1.0,-4547629.0,193.0,167.95371237458193,4107776.0,"[4547629.0, 4107776.0, 16814.0, 2326.0, 814.0, 686.0, 677.0, 646.0, 629.0, 627.0]",2,322,14626,-1515876.3333333333,195.0,371.9046923998411,4107776.0,2.0,1.0
9,119,H007,00-00-01,14597,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 04:05:49.222442967,0 days 00:01:03,0 days 04:00:00,0 days 04:05:50.208947043,86 days 09:00:00,0,-752058474.0,474.0,4203.413783654176,802134830.0,"[802134830.0, 752058474.0, 2727168.0, 2959.0, 2674.0, 2534.0, 2397.0, 2373.0, 2355.0, 2320.0]",1,1142,13454,-376029237.0,489.0,2506.5237369129413,401067415.0,1.0,1.0,-334254777.0,280.0,2644.21949715695,367675441.0,"[367675441.0, 334254777.0, 1282554.0, 2448.0, 1385.0, 1225.0, 1111.0, 1054.0, 1054.0, 1053.0]",1,429,14167,-167127388.5,284.0,1505.343138367788,183837720.5,1.0,1.0
10,217,N208,01-05-01,15088,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:57:49.247083775,0 days 00:00:09,0 days 04:00:00,0 days 03:57:50.201484623,7 days 04:00:00,1,0.0,0.0,61917.73899787911,916848676.0,"[916848676.0, 17366170.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,15086,2,0.0,0.0,61917.73899787911,916848676.0,0.0,0,-937230056.0,0.0,76229.91417020149,2087387080.0,"[2087387080.0, 937230056.0, 26.0, 15.0, 13.0, 9.0, 9.0, 7.0, 7.0, 7.0]",97,14910,81,-937230056.0,0.0,76229.91459211861,2087387080.0,1.0,0.0
11,54,B027,00-00-04,15010,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:59:03.397734843,0 days 00:00:06,0 days 04:00:00,0 days 03:59:04.357095269,1 days 16:00:00,1,0.0,163.0,817.2028647568288,8943743.0,"[8943743.0, 3490.0, 1352.0, 1192.0, 1171.0, 1147.0, 1065.0, 1064.0, 1046.0, 1037.0]",0,155,14855,0.0,165.0,820.5866303075802,8943743.0,0.0,0,0.0,72.0,521.1768154563624,6192996.0,"[6192996.0, 1618.0, 876.0, 812.0, 753.0, 670.0, 608.0, 594.0, 591.0, 590.0]",0,169,14841,0.0,73.0,521.6562181909769,6192996.0,0.0,0
12,236,N533,02-06-02,11472,2014-10-11 01:00:00,2020-01-13 08:00:00,0 days 04:01:02.447698744,0 days 00:01:05,0 days 04:00:00,0 days 04:01:03.702928870,14 days 04:00:00,1,-1612650.0,93.0,0.23274058577405857,495683.0,"[1612650.0, 495683.0, 143373.0, 9810.0, 695.0, 651.0, 538.0, 521.0, 462.0, 437.0]",2,128,11342,-1612650.0,93.0,0.12067113412422195,495683.0,2.0,1.0,-1080521.0,35.0,0.07540097629009763,432124.0,"[1080521.0, 432124.0, 6621.0, 5517.0, 637.0, 551.0, 505.0, 481.0, 450.0, 426.0]",2,363,11107,-1080521.0,35.0,-0.3771182127235977,432124.0,2.0,1.0
