Area/SCP,isNA,IDna,IDnz,IDct,IZna,ODna,ODnz,ODct,OZna,IDnzPct,ODnzPct,IZnaPct,OZnaPct
"('R532H', '02-03-01')",0,0,1904,14973,0,0,8006,14973,0,0.1271622253389434,0.5346957857476792,0.0,0.0
"('R238', '00-07-00')",0,0,2911,3997,0,0,3782,3997,0,0.7282962221666249,0.9462096572429322,0.0,0.0
"('R130', '01-06-01')",0,0,12057,14790,0,0,14265,14790,0,0.8152129817444219,0.9645030425963488,0.0,0.0
"('R238', '00-00-09')",0,0,5414,5469,0,0,5437,5469,0,0.9899433168769428,0.9941488389102212,0.0,0.0
"('A047', '00-06-02')",0,0,13766,15033,0,0,14024,15033,0,0.91571875207876,0.9328809951440163,0.0,0.0
"('H026', '00-05-01')",15047,0,0,15047,15047,0,335,15047,0,0.0,0.0222635741343789,1.0,0.0
"('N412', '00-00-00')",0,0,14531,14874,0,0,14533,14874,0,0.9769396261933576,0.9770740890143876,0.0,0.0
"('N342', '01-03-02')",646,0,0,646,646,0,302,646,0,0.0,0.4674922600619195,1.0,0.0
"('R254', '01-00-00')",0,0,14428,14905,0,0,14583,14905,0,0.9679973163367998,0.9783965112378396,0.0,0.0
"('H007', '00-00-01')",0,0,13411,14553,0,0,14124,14553,0,0.921528207242493,0.9705215419501134,0.0,0.0
"('PTH22', '02-03-06')",0,0,1149,1203,0,0,1119,1203,0,0.9551122194513716,0.9301745635910224,0.0,0.0
"('N208', '01-05-01')",14948,0,0,14948,14948,0,79,14948,0,0.0,0.0052849879582552,1.0,0.0
"('B027', '00-00-04')",0,0,14812,14967,0,0,14799,14967,0,0.989643883209728,0.9887753056724796,0.0,0.0
"('PTH08', '00-04-08')",0,0,3209,3383,0,0,3275,3383,0,0.948566361217854,0.9680756724800472,0.0,0.0
"('N533', '02-06-02')",0,0,11341,11469,0,0,11106,11469,0,0.9888394803383032,0.9683494637719068,0.0,0.0
"('J032', '01-06-01')",0,0,13861,14597,0,0,13071,14597,0,0.949578680550798,0.895457970815921,0.0,0.0
"('H019', '00-06-01')",0,0,12243,12930,0,0,12552,12930,0,0.9468677494199536,0.9707656612529002,0.0,0.0
"('N334B', '00-00-02')",0,0,3787,5261,0,0,4462,5261,0,0.719825128302604,0.8481277323702718,0.0,0.0
"('R201', '00-06-02')",0,0,13950,14942,0,0,14008,14942,0,0.933609958506224,0.9374916343193682,0.0,0.0
"('N336', '00-00-00')",0,0,14878,14988,0,0,14916,14988,0,0.992660795302909,0.9951961569255404,0.0,0.0
"('R551', '01-05-00')",6593,0,168,6593,0,0,0,6593,6593,0.0254815713635674,0.0,0.0,1.0
"('N546', '00-00-03')",0,0,14750,15002,0,0,14893,15002,0,0.9832022397013732,0.9927343020930542,0.0,0.0
"('R138', '00-03-06')",0,0,8891,9032,0,0,8900,9032,0,0.9843888396811338,0.9853852967227636,0.0,0.0
"('R113', '01-06-02')",0,0,6810,14926,0,0,6545,14926,0,0.4562508374648265,0.438496583143508,0.0,0.0
"('R637', '00-00-00')",0,0,14576,14923,0,0,14593,14923,0,0.9767473028211484,0.9778864839509482,0.0,0.0
"('R262', '03-03-04')",0,0,0,0,0,0,0,0,0,,,,
"('R158', '00-06-00')",0,0,11921,12996,0,0,12513,12996,0,0.9172822406894428,0.9628347183748844,0.0,0.0
"('N544', '01-03-02')",0,0,0,0,0,0,0,0,0,,,,
"('R407', '01-00-00')",0,0,12742,15067,0,0,14281,15067,0,0.8456892546625074,0.9478330125439702,0.0,0.0
"('R527', '00-03-01')",0,0,14965,15077,0,0,14925,15077,0,0.9925714664721098,0.9899184187835776,0.0,0.0
"('R533', '00-03-07')",0,0,14827,15217,0,0,14932,15217,0,0.9743707695340738,0.9812709469672076,0.0,0.0
"('PTH18', '01-02-04')",0,0,9714,14054,0,0,8234,14054,0,0.691191119965846,0.5858830226270101,0.0,0.0
"('R608', '00-03-00')",0,0,13411,13485,0,0,13451,13485,0,0.9945124212087504,0.9974786800148312,0.0,0.0
"('N090', '01-06-00')",0,0,1159,14893,0,0,8897,14893,0,0.0778217954743839,0.5973947492110387,0.0,0.0
"('N095A', '01-03-00')",0,0,13810,15080,0,0,13346,15080,0,0.9157824933687002,0.8850132625994694,0.0,0.0
"('N191', '00-00-01')",0,0,14643,14894,0,0,14770,14894,0,0.9831475762051832,0.9916744997985766,0.0,0.0
"('N510', '02-06-01')",0,0,11645,14858,0,0,6639,14858,0,0.7837528604118993,0.4468299905774667,0.0,0.0
"('R518', '00-00-01')",0,0,14242,14948,0,0,14388,14948,0,0.9527696012844528,0.9625367942199624,0.0,0.0
"('N519A', '01-05-01')",0,0,1,14983,0,0,1383,14983,0,6.674230794900888e-05,0.0923046118934792,0.0,0.0
"('PTH20', '03-00-07')",0,0,1987,14052,0,0,12834,14052,0,0.1414033589524622,0.9133219470538002,0.0,0.0
"('N315', '00-00-03')",0,0,14723,14921,0,0,14759,14921,0,0.9867301119227934,0.9891428188459218,0.0,0.0
"('N530', '00-00-00')",0,0,14218,14850,0,0,14350,14850,0,0.9574410774410774,0.9663299663299664,0.0,0.0
"('N007A', '00-00-00')",0,0,14443,15093,0,0,14748,15093,0,0.9569336778639104,0.977141721327768,0.0,0.0
"('N340', '00-00-03')",0,0,14059,14925,0,0,14724,14925,0,0.9419765494137352,0.986532663316583,0.0,0.0
"('N051', '02-00-03')",0,0,14915,15060,0,0,15046,15060,0,0.9903718459495352,0.999070385126162,0.0,0.0
"('R203', '00-03-01')",0,0,14146,15082,0,0,12512,15082,0,0.9379392653494232,0.8295981965256597,0.0,0.0
"('A061', '00-03-02')",0,0,14602,14974,0,0,14889,14974,0,0.9751569386937358,0.9943234940563644,0.0,0.0
"('C020', '00-06-00')",0,0,7964,8591,0,0,8460,8591,0,0.9270166453265044,0.9847514841112792,0.0,0.0
"('N095', '00-05-01')",15135,0,0,15135,15135,0,448,15135,0,0.0,0.029600264288074,1.0,0.0
"('J035', '00-00-03')",0,0,13605,14138,0,0,13724,14138,0,0.962300183901542,0.9707172160135804,0.0,0.0
"('G015', '01-06-00')",0,0,14373,14895,0,0,9685,14895,0,0.9649546827794562,0.6502181940248406,0.0,0.0
"('B020', '00-00-04')",0,0,562,738,0,0,655,738,0,0.7615176151761518,0.8875338753387534,0.0,0.0
"('PTH22', '00-02-05')",0,0,7325,7952,0,0,7409,7952,0,0.9211519114688128,0.931715291750503,0.0,0.0
"('N400A', '02-00-06')",0,0,1045,1099,0,0,1058,1099,0,0.9508644222020018,0.9626933575978162,0.0,0.0
"('N415', '00-00-00')",0,0,14403,14824,0,0,14576,14824,0,0.9716001079330816,0.9832703723691312,0.0,0.0
"('N541', '01-06-01')",0,0,13658,14492,0,0,12079,14492,0,0.9424510074523876,0.8334943417057687,0.0,0.0
"('N339A', '00-03-04')",0,0,14828,15592,0,0,14751,15592,0,0.9510005130836326,0.9460620831195484,0.0,0.0
"('R116', '00-05-03')",0,0,1,15119,0,0,179,15119,0,6.614194060453734e-05,0.0118394073682121,0.0,0.0
"('R646', '01-06-01')",0,0,180,180,0,0,180,180,0,1.0,1.0,0.0,0.0
"('R162', '00-00-03')",0,0,14262,15055,0,0,14263,15055,0,0.9473264696114247,0.9473928927266688,0.0,0.0
"('N101', '01-00-00')",0,0,14369,14928,0,0,14494,14928,0,0.96255359056806,0.9709271168274384,0.0,0.0
"('R232', '02-00-05')",0,0,14229,15035,0,0,14392,15035,0,0.9463917525773196,0.957233122713668,0.0,0.0
"('N408A', '00-00-01')",0,0,14316,14999,0,0,14507,14999,0,0.9544636309087272,0.9671978131875458,0.0,0.0
"('R528', '00-00-04')",0,0,14930,14994,0,0,14953,14994,0,0.9957316259837268,0.997265572895825,0.0,0.0
"('E001', '00-05-00')",0,0,234,15054,0,0,1,15054,0,0.0155440414507772,6.642752756742394e-05,0.0,0.0
"('B034', '01-06-00')",0,0,13558,14718,0,0,13800,14718,0,0.9211849436064684,0.9376273950264982,0.0,0.0
"('N331', '00-00-00')",0,0,15010,15049,0,0,14989,15049,0,0.9974084656787826,0.996013024121204,0.0,0.0
"('B015', '01-03-00')",0,0,14653,14966,0,0,14767,14966,0,0.9790859281037018,0.9867031939061872,0.0,0.0
"('R161A', '01-00-02')",0,0,14692,14974,0,0,14854,14974,0,0.981167356751703,0.9919861092560438,0.0,0.0
"('G001', '00-00-04')",0,0,14578,15054,0,0,14868,15054,0,0.9683804968779062,0.9876444798724592,0.0,0.0
"('S102', '00-03-01')",0,0,13183,15033,0,0,7,15033,0,0.8769374043770372,0.0004656422537085,0.0,0.0
"('N063A', '00-00-06')",0,0,15208,15298,0,0,15193,15298,0,0.994116878023271,0.993136357693816,0.0,0.0
"('PTH17', '01-01-01')",0,0,13610,14083,0,0,13640,14083,0,0.9664134062344673,0.968543634168856,0.0,0.0
"('R204A', '03-05-00')",14845,0,482,14845,0,0,0,14845,14845,0.0324688447288649,0.0,0.0,1.0
"('R131', '00-02-01')",0,0,0,0,0,0,0,0,0,,,,
"('PTH07', '00-00-04')",0,0,8202,9209,0,0,8527,9209,0,0.890650450646107,0.9259420132479096,0.0,0.0
"('D009', '00-00-01')",0,0,13829,14983,0,0,13521,14983,0,0.9229793766268436,0.902422745778549,0.0,0.0
"('JFK01', '00-00-01')",0,0,14370,15099,0,0,13756,15099,0,0.951718656864693,0.9110537121663688,0.0,0.0
"('N103', '00-03-01')",0,0,1,15024,0,0,235,15024,0,6.656017039403621e-05,0.0156416400425985,0.0,0.0
"('N023', '01-00-00')",0,0,13943,14905,0,0,14666,14905,0,0.9354579000335458,0.9839651123783963,0.0,0.0
"('R630', '00-00-00')",0,0,12825,13356,0,0,12982,13356,0,0.9602425876010782,0.9719976040730758,0.0,0.0
"('PTH13', '00-00-02')",0,0,5148,11752,0,0,5784,11752,0,0.4380530973451327,0.4921715452688904,0.0,0.0
"('J016', '00-00-00')",0,0,14685,14964,0,0,14876,14964,0,0.981355252606255,0.9941192194600376,0.0,0.0
"('N213', '00-00-00')",0,0,15140,15242,0,0,15176,15242,0,0.9933079648340112,0.995669859598478,0.0,0.0
"('R501', '00-06-01')",0,0,14518,14978,0,0,14606,14978,0,0.9692882894912538,0.9751635732407532,0.0,0.0
"('B017', '00-00-01')",0,0,14453,14799,0,0,14629,14799,0,0.9766200418947226,0.988512737347118,0.0,0.0
"('H023', '00-00-02')",0,0,14561,15106,0,0,14597,15106,0,0.9639216205481266,0.9663047795577916,0.0,0.0
"('R291', '00-00-01')",0,0,14645,14818,0,0,14774,14818,0,0.9883250101228236,0.9970306384127412,0.0,0.0
"('N196', '00-00-01')",0,0,14628,14959,0,0,14783,14959,0,0.9778728524634,0.9882345076542548,0.0,0.0
"('R141', '00-00-00')",0,0,14775,14955,0,0,14944,14955,0,0.9879638916750252,0.9992644600468072,0.0,0.0
"('C022', '01-05-01')",8828,0,0,8828,8828,0,114,8828,0,0.0,0.0129134571816946,1.0,0.0
"('N057', '00-03-02')",0,0,14768,15074,0,0,14765,15074,0,0.9797001459466632,0.9795011277696696,0.0,0.0
"('N049', '01-03-00')",0,0,14797,15048,0,0,14983,15048,0,0.9833200425305688,0.9956804891015416,0.0,0.0
"('N333B', '02-03-00')",15034,0,2031,15034,0,0,0,15034,15034,0.1350937874151922,0.0,0.0,1.0
"('N089', '00-06-02')",0,0,14101,14384,0,0,14307,14384,0,0.980325361512792,0.994646829810901,0.0,0.0
"('N537', '00-00-00')",0,0,14836,14924,0,0,14885,14924,0,0.9941034575180916,0.9973867595818816,0.0,0.0
"('R251', '00-03-01')",0,0,14656,15014,0,0,14834,15014,0,0.9761555881177568,0.988011189556414,0.0,0.0
"('N562', '00-00-00')",0,0,13263,14909,0,0,13730,14909,0,0.8895968877859012,0.9209202495137164,0.0,0.0
"('R604', '03-00-05')",0,0,14569,14902,0,0,14672,14902,0,0.977654006173668,0.9845658300899208,0.0,0.0
"('R235', '01-05-01')",1434,0,0,1434,1434,0,21,1434,0,0.0,0.0146443514644351,1.0,0.0
