       area  unit       scp station    lines  div        desc        i        o                  dt
13031  A002  R051  02-00-00   59 ST  NQR456W  BMT     REGULAR  7457064  2535856 2020-09-12 00:00:00
13032  A002  R051  02-00-00   59 ST  NQR456W  BMT     REGULAR  7457067  2535861 2020-09-12 04:00:00
13033  A002  R051  02-00-00   59 ST  NQR456W  BMT     REGULAR  7457078  2535876 2020-09-12 08:00:00
13034  A002  R051  02-00-00   59 ST  NQR456W  BMT     REGULAR  7457119  2535920 2020-09-12 12:00:00
13035  A002  R051  02-00-00   59 ST  NQR456W  BMT  RECOVR AUD    26786     4009 2020-09-12 12:00:00
13036  A002  R051  02-00-00   59 ST  NQR456W  BMT     REGULAR  7457230  2535953 2020-09-12 16:00:00
13037  A002  R051  02-00-00   59 ST  NQR456W  BMT     REGULAR  7457355  2535959 2020-09-12 20:00:00
13038  A002  R051  02-00-00   59 ST  NQR456W  BMT     REGULAR  7457420  2535969 2020-09-13 00:00:00
13039  A002  R051  02-00-00   59 ST  NQR456W  BMT     REGULAR  7457424  2535972 2020-09-13 04:00:00



        area  unit       scp     station lines  div        desc          i          o                  dt
519777  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT     REGULAR  885834936  490418840 2018-12-30 11:00:00
519778  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT     REGULAR  885834934  490418818 2018-12-30 11:22:18
519779  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT     REGULAR  885834934  490418818 2018-12-30 11:23:53
519780  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT     REGULAR  885834893  490418389 2018-12-30 15:00:00
519781  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT  RECOVR AUD         21         15 2018-12-30 15:00:00
519782  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT     REGULAR  885834891  490418349 2018-12-30 15:09:14
519783  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT     REGULAR         46         73 2018-12-30 19:00:00
519784  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT     REGULAR        120        190 2018-12-30 23:00:00
519785  A011  R080  01-00-00  57 ST-7 AV  NQRW  BMT     REGULAR        162        207 2018-12-31 03:00:00



        area  unit       scp     station lines  div        desc         i         o                  dt
534899  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR  16816067  18378829 2018-12-30 08:24:54
534900  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR  16816098  18378934 2018-12-30 09:54:59
534901  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR  16816098  18378934 2018-12-30 09:56:18
534902  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR  16816112  18379007 2018-12-30 11:00:00
534903  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT  RECOVR AUD        25        21 2018-12-30 11:00:00
534904  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR  16816125  18379025 2018-12-30 11:22:18
534905  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR  16816127  18379026 2018-12-30 11:23:53
534906  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR  16816230  18379288 2018-12-30 15:00:00
534907  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT  RECOVR AUD        27        37 2018-12-30 15:00:00
534908  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR  16816237  18379298 2018-12-30 15:09:14
534909  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR        62        80 2018-12-30 19:00:00
534910  A011  R080  01-00-01  57 ST-7 AV  NQRW  BMT     REGULAR       197       175 2018-12-30 23:00:00
