          area       scp  index                  dt     i     o  idiff  odiff     idiff_ph   odiff_ph        iz        oz     cumiz     cumoz
59502226  R315  01-00-01   8776 2018-10-18 21:00:00  4584  2870  139.0  128.0    34.750000  32.000000  0.001958  0.008046  0.001793  0.001927
59502227  R315  01-00-01   8777 2018-10-19 01:00:00  4627  2901   43.0   31.0    10.750000   7.750000  0.014750  0.008743  0.001818  0.001958
59502228  R315  01-00-01   8778 2018-10-19 05:00:00  4635  2903    8.0    2.0     2.000000   0.500000  0.020842  0.008952  0.001827  0.001967
59502229  R315  01-00-01   8779 2018-10-19 08:59:59  4770  2936  135.0   33.0    33.752344   8.250573  0.001264  0.008729  0.001794  0.001957
59502230  R315  01-00-01   8780 2018-10-19 09:00:00  4772  2936    2.0    0.0  7200.000000   0.000000  4.990367  0.008966  0.005534  0.001967
59502231  R315  01-00-01   8781 2018-10-19 13:00:00  4867  2985   95.0   49.0    23.750000  12.250000  0.005700  0.008614  0.001805  0.001952
59502232  R315  01-00-01   8782 2018-10-19 17:00:00  5038  3083  171.0   98.0    42.750000  24.500000  0.007528  0.008262  0.001785  0.001936
59502233  R315  01-00-01   8783 2018-10-19 21:00:00  5181  3198  143.0  115.0    35.750000  28.750000  0.002655  0.008140  0.001792  0.001931
59502234  R315  01-00-01   8784 2018-10-20 01:00:00  5225  3240   44.0   42.0    11.000000  10.500000  0.014576  0.008664  0.001818  0.001954



          area       scp  index                  dt        i        o  idiff  odiff     idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
44593208  R110  01-03-02   5609 2017-05-08 20:00:00  4456799  3983577  389.0   90.0   172.590584     39.930983  0.037236  0.004939  0.001652  0.001917
44593209  R110  01-03-02   5610 2017-05-09 00:00:00  4456979  3983630  180.0   53.0    45.000000     13.250000  0.009324  0.016538  0.001783  0.001951
44593210  R110  01-03-02   5611 2017-05-09 04:00:00  4456991  3983645   12.0   15.0     3.000000      3.750000  0.024651  0.020667  0.001826  0.001963
44593211  R110  01-03-02   5612 2017-05-09 07:59:59  4457057  3983909   66.0  264.0    16.501146     66.004584  0.019724  0.006395  0.001812  0.001884
44593212  R110  01-03-02   5613 2017-05-09 08:00:00  4457059  3983914    2.0    5.0  7200.000000  18000.000000  2.601670  7.802358  0.005534  0.020897
44593213  R110  01-03-02   5614 2017-05-09 08:57:08  4457177  3984071  118.0  157.0   123.920653    164.877480  0.019476  0.049375  0.001702  0.001758
44593214  R110  01-03-02   5615 2017-05-09 12:00:00  4457324  3984431  147.0  360.0    48.231863    118.118848  0.008145  0.029049  0.001780  0.001817
44593215  R110  01-03-02   5616 2017-05-09 16:00:00  4457638  3984519  314.0   88.0    78.500000     22.000000  0.002901  0.012734  0.001749  0.001939
44593216  R110  01-03-02   5617 2017-05-09 20:00:00  4458489  3984626  851.0  107.0   212.750000     26.750000  0.051891  0.010669  0.001611  0.001933



          area       scp  index                  dt        i        o  idiff  odiff     idiff_ph   odiff_ph          iz        oz     cumiz     cumoz
52216799  R208  03-01-01  10347 2019-07-03 21:00:00  1743636  1956742  136.0   17.0    34.000000   4.250000    0.245621  0.494535  0.001794  0.001962
52216800  R208  03-01-01  10348 2019-07-04 01:00:00  1743668  1956750   32.0    8.0     8.000000   2.000000    0.163668  0.564593  0.001821  0.001965
52216801  R208  03-01-01  10349 2019-07-04 05:00:00  1743670  1956751    2.0    1.0     0.500000   0.250000    0.281732  0.619083  0.001828  0.001967
52216802  R208  03-01-01  10350 2019-07-04 08:59:59  1743675  1956763    5.0   12.0     1.250087   3.000208    0.269924  0.533450  0.001828  0.001964
52216803  R208  03-01-01  10351 2019-07-04 09:00:00  1743677  1956763    2.0    0.0  7200.000000   0.000000  113.052052  0.626867  0.005534  0.001967
52216804  R208  03-01-01  10352 2019-07-04 09:01:20  1743677  1956763    0.0    0.0     0.000000   0.000000    0.289603  0.626867  0.001829  0.001967
52216805  R208  03-01-01  10353 2019-07-04 13:00:00  1743698  1956794   21.0   31.0     5.279330   7.793296    0.206496  0.384208  0.001823  0.001957
52216806  R208  03-01-01  10354 2019-07-04 17:00:00  1743746  1956835   48.0   41.0    12.000000  10.250000    0.100700  0.307714  0.001817  0.001954
52216807  R208  03-01-01  10355 2019-07-04 21:00:00  1743804  1956907   58.0   72.0    14.500000  18.000000    0.061346  0.066403  0.001814  0.001945



          area       scp  index                  dt        i        o  idiff  odiff     idiff_ph     odiff_ph        iz        oz     cumiz     cumoz
34470533  N507  00-03-02   5432 2017-03-26 20:00:00  3160375  2182775  146.0  164.0    36.500000    41.000000  0.020620  0.020018  0.001792  0.001915
