C/A,ENTRIES,WEEK,YEAR
A002,53597760,28,2021
A006,22024177,28,2021
A007,126138226,28,2021
A010,67573186,28,2021
A011,893773995,28,2021
A013,25273162,28,2021
A014,9228407,28,2021
A015,31288051,28,2021
A016,26962558,28,2021
A021,30700553,28,2021
A022,147376527,28,2021
A025,71849918,28,2021
A027,13423327,28,2021
A029,24455510,28,2021
A030,137718655,28,2021
A031,16517906,28,2021
A033,105301403,28,2021
A034,31562493,28,2021
A035,10121751,28,2021
A037,42522713,28,2021
A038,31626958,28,2021
A039,75297451,28,2021
A041,64624358,28,2021
A042,11166516,28,2021
A043,779504889,28,2021
A046,216243466,28,2021
A047,143241335,28,2021
A049,2579219512,28,2021
A050,24393114,28,2021
A052,1727969,28,2021
A053,2913881,28,2021
A054,16989980,28,2021
A055,129528431,28,2021
A058,262023118,28,2021
A060,21728178,28,2021
A061,35840516,28,2021
A064,13369891,28,2021
A066,2074134223,28,2021
A069,19944245,28,2021
A071,12582670,28,2021
A077,1667817242,28,2021
A081,120511824,28,2021
A082,38703722,28,2021
A083,10267616,28,2021
A084,2520774,28,2021
A085,0,28,2021
B004,38485822,28,2021
B009,13732220,28,2021
B010,6178587,28,2021
B012,1577998536,28,2021
B013,30541153,28,2021
B014,42686200,28,2021
B015,30828241,28,2021
B016,57334912,28,2021
B017,12164935,28,2021
B018,10687669,28,2021
B019,52763115,28,2021
B020,121077151,28,2021
B021,24071334,28,2021
B022,113906267,28,2021
B023,428305008,28,2021
B024,37538477,28,2021
B024A,13101856,28,2021
B025,93947030,28,2021
B026,111933955,28,2021
B027,49658269,28,2021
B028,3287643,28,2021
B029,51345345,28,2021
B031,30211609,28,2021
B032,4588190,28,2021
B034,11396873,28,2021
C001,103653929,28,2021
C003,189899301,28,2021
C004,203758299,28,2021
C008,3440576376,28,2021
C009,684223536,28,2021
C010,21871789,28,2021
C011,7428762,28,2021
C012,261305370,28,2021
C014,27933920,28,2021
C015,6916126,28,2021
C016,15425914,28,2021
C017,6817842,28,2021
C018,48428795,28,2021
C019,14959548,28,2021
C020,125151167,28,2021
C021,19114920,28,2021
C022,2665055,28,2021
C023,1582138192,28,2021
C024,33103998,28,2021
C025,42837899,28,2021
C026,5980761,28,2021
C027,22392314,28,2021
C028,275080235,28,2021
D001,1052171,28,2021
D002,21261692,28,2021
D003,12741008,28,2021
D004,2425632,28,2021
D005,13800913,28,2021
D006,3405085,28,2021
D008,2081789069,28,2021
D009,18615531,28,2021
D010,5988001,28,2021
D011,1844695081,28,2021
D012,19861301,28,2021
D015,11638267,28,2021
D016,5761803,28,2021
E001,31866681,28,2021
E003,9558926,28,2021
E004,13747792,28,2021
E005,13521959,28,2021
E009,27853110,28,2021
E011,32850224,28,2021
E012,23697030,28,2021
E013,10031718,28,2021
E014,285044184,28,2021
E015,11456392,28,2021
E016,13593316,28,2021
G001,633617019,28,2021
G009,11888176,28,2021
G011,12689275,28,2021
G015,2125050,28,2021
H001,126854639,28,2021
H003,1693734620,28,2021
H005,7241685,28,2021
H006,20133500,28,2021
H007,457137580,28,2021
H007A,2106059,28,2021
H008,4280898,28,2021
H009,83208600,28,2021
H010,9235477,28,2021
H012,14927606,28,2021
H013,30386353,28,2021
H014,4344657,28,2021
H015,17587665,28,2021
H016,3933518,28,2021
H017,150097308,28,2021
H019,3642412,28,2021
H022,12534685,28,2021
H023,3074003240,28,2021
H026,28235696,28,2021
H027,1700170938,28,2021
H028,97869509,28,2021
H030,5751928,28,2021
H032,20752029,28,2021
H033,7534000,28,2021
H035,4177548,28,2021
H037,2679777,28,2021
H038,8262874,28,2021
H039,172833580,28,2021
H040,25413059,28,2021
H041,1640530647,28,2021
J001,30657609,28,2021
J002,122088927,28,2021
J003,2152392391,28,2021
J005,10698274,28,2021
J007,49473181,28,2021
J009,46727228,28,2021
J012,15849911,28,2021
J013,7008328,28,2021
J016,21571159,28,2021
J017,1099651,28,2021
J020,8851860,28,2021
J021,13248139,28,2021
J022,11002505,28,2021
J023,14053681,28,2021
J024,7817185,28,2021
J025,7719629,28,2021
J028,6890436,28,2021
J030,22280390,28,2021
J031,12493429,28,2021
J032,4286736,28,2021
J034,751642,28,2021
J035,18440842,28,2021
J037,1955285377,28,2021
JFK01,371914,28,2021
JFK02,709790,28,2021
JFK03,2611180,28,2021
K017,8854265,28,2021
K019,13570819,28,2021
K022,8710425,28,2021
K024,11946031,28,2021
K025,27521665,28,2021
K026,177408975,28,2021
N001,277308511,28,2021
N002A,19299035,28,2021
N003,33990582,28,2021
N006A,1453986324,28,2021
N007A,21548887,28,2021
N009,1655302380,28,2021
N010,256267407,28,2021
N011,123317367,28,2021
N012,59199994,28,2021
N013,13787419,28,2021
N016A,11686717,28,2021
N017,14532850,28,2021
N019,42872767,28,2021
N020,80367556,28,2021
N022,190333029,28,2021
N023,2247845,28,2021
N024,7067277,28,2021
N025,25462037,28,2021
N026,90686384,28,2021
N029,185887160,28,2021
N030,9470475,28,2021
N034,157909,28,2021
N035,19220934,28,2021
N037,31661954,28,2021
N039,11657626,28,2021
N040,21340321,28,2021
N043,26946531,28,2021
N044,32755231,28,2021
N045,91768598,28,2021
N046,16724810,28,2021
N049,651581867,28,2021
N051,1475559077,28,2021
N056,660857303,28,2021
N057,35439708,28,2021
N060,104714814,28,2021
N062,2216361206,28,2021
N062A,163229396,28,2021
N063,56624209,28,2021
N063A,4992681995,28,2021
N067,45614763,28,2021
N068,20362898,28,2021
N069,25121072,28,2021
N070,133240158,28,2021
N071,18103768,28,2021
N072,1287042174,28,2021
N073,21453243,28,2021
N075,105548959,28,2021
N076,14118809,28,2021
N077,283937235,28,2021
N078,2155969816,28,2021
N080,31477432,28,2021
N083,52918041,28,2021
N086,10313695,28,2021
N087,14563731,28,2021
N089,944977872,28,2021
N090,19807989,28,2021
N091,1217664365,28,2021
N092,416995896,28,2021
N094,1601816920,28,2021
N095,18085448,28,2021
N095A,27417837,28,2021
N098,621089929,28,2021
N100,1916047703,28,2021
N101,11333479,28,2021
N102,152383672,28,2021
N103,167416341,28,2021
N108,46331797,28,2021
N110,1981987113,28,2021
N111,14293381,28,2021
N112A,156793063,28,2021
N113,10740769,28,2021
N114,5099686,28,2021
N116,26369027,28,2021
N117,15660866,28,2021
N118,1793689,28,2021
N119,10052584,28,2021
N120,45123315,28,2021
N120A,116259615,28,2021
N121B,29630795,28,2021
N122,11311624,28,2021
N123B,4055070,28,2021
N124,45929562,28,2021
N125,7570903,28,2021
N126,14116246,28,2021
N127,9765248,28,2021
N128,22111950,28,2021
N129,1232137120,28,2021
N130,127012445,28,2021
N131,9880846,28,2021
N133,6268196,28,2021
N134,11543557,28,2021
N135,140083761,28,2021
N137,1690761207,28,2021
N138,53586107,28,2021
N139,8362525,28,2021
N141,32140777,28,2021
N181,6011802,28,2021
N181A,122375963,28,2021
N182,7446923,28,2021
N183,1521927,28,2021
N184,6800862,28,2021
N185,5150760,28,2021
N186,119004664,28,2021
N187,106247591,28,2021
N191,12972677,28,2021
N192,130204688,28,2021
N193,2631140,28,2021
N194,3097290,28,2021
N195,2859207,28,2021
N196,4465590,28,2021
N202,9767756,28,2021
N203,2009487853,28,2021
N205,736009044,28,2021
N206,1083751,28,2021
N207,3628633178,28,2021
N208,1273891630,28,2021
N209,11907758,28,2021
N210,7498167,28,2021
N212,8073475,28,2021
N213,605823780,28,2021
N215,1491304243,28,2021
N217,696773957,28,2021
N218,1496533,28,2021
N220,357409619,28,2021
N221,907678591,28,2021
N222,8726822,28,2021
N223,2135149,28,2021
N224,15537360,28,2021
N225,337490953,28,2021
N300,13898450,28,2021
N301,17900632,28,2021
N303,67263693,28,2021
N304,42881313,28,2021
N305,354952837,28,2021
N305A,1491323815,28,2021
N306,826168228,28,2021
N307,5722263,28,2021
N309A,87455619,28,2021
N310,8783747,28,2021
N311,104314336,28,2021
N312,3970570,28,2021
N314,29222006,28,2021
N315,38928787,28,2021
N316,1481771,28,2021
N316A,16270050,28,2021
N317,1705319,28,2021
N318,19056545,28,2021
N319,7950980,28,2021
N322,24770611,28,2021
N323,21472059,28,2021
N324,104856176,28,2021
N325A,1952553928,28,2021
N327,87884803,28,2021
N329,28206208,28,2021
N329A,1325547,28,2021
N330,46115719,28,2021
