dt,N067_00-03-04,N067_00-03-04_ph,N067_00-03-05,N067_00-03-05_ph,N067_00-03-01,N067_00-03-01_ph,N067_00-03-00,N067_00-03-00_ph,N067_00-03-02,N067_00-03-02_ph,N067_00-03-03,N067_00-03-03_ph,N067_00-05-03,N067_00-05-03_ph,N067_00-05-02,N067_00-05-02_ph,N067_00-05-00,N067_00-05-00_ph,N067_00-05-01,N067_00-05-01_ph,N067_00-00-00,N067_00-00-00_ph,N067_00-00-01,N067_00-00-01_ph,N067_00-00-03,N067_00-00-03_ph,N067_00-00-02,N067_00-00-02_ph,N067_00-00-05,N067_00-00-05_ph,N067_00-00-04,N067_00-00-04_ph,N067_00-06-02,N067_00-06-02_ph,N067_00-06-03,N067_00-06-03_ph,N067_00-06-01,N067_00-06-01_ph,N067_00-06-00,N067_00-06-00_ph,N068_03-06-00,N068_03-06-00_ph,N068_03-00-02,N068_03-00-02_ph,N068_03-00-00,N068_03-00-00_ph,N068_03-00-01,N068_03-00-01_ph,N070_04-05-01,N070_04-05-01_ph,N070_04-05-00,N070_04-05-00_ph,N070_04-00-01,N070_04-00-01_ph,N070_04-00-00,N070_04-00-00_ph,N070_04-00-02,N070_04-00-02_ph,N070_04-00-03,N070_04-00-03_ph,N070_04-00-04,N070_04-00-04_ph,N072_05-00-01,N072_05-00-01_ph,N072_05-00-00,N072_05-00-00_ph,N072_05-00-02,N072_05-00-02_ph,N072_05-00-03,N072_05-00-03_ph,N072_05-03-00,N072_05-03-00_ph,N072_05-03-01,N072_05-03-01_ph,N072_05-03-03,N072_05-03-03_ph,N072_05-03-02,N072_05-03-02_ph,N072_05-03-06,N072_05-03-06_ph,N072_05-03-05,N072_05-03-05_ph,N072_05-03-04,N072_05-03-04_ph,N071_00-06-01,N071_00-06-01_ph,N071_00-06-00,N071_00-06-00_ph,N071_00-00-00,N071_00-00-00_ph,N071_00-00-01,N071_00-00-01_ph,N071_00-00-03,N071_00-00-03_ph,N071_00-00-02,N071_00-00-02_ph,N071_00-00-04,N071_00-00-04_ph,N071_00-05-00,N071_00-05-00_ph,N071_00-05-01,N071_00-05-01_ph,N071_00-03-04,N071_00-03-04_ph,N071_00-03-05,N071_00-03-05_ph,N071_00-03-01,N071_00-03-01_ph,N071_00-03-00,N071_00-03-00_ph,N071_00-03-02,N071_00-03-02_ph,N071_00-03-03,N071_00-03-03_ph,N069_01-06-00,N069_01-06-00_ph,N069_01-00-02,N069_01-00-02_ph,N069_01-00-00,N069_01-00-00_ph,N069_01-00-01,N069_01-00-01_ph,N073_02-00-07,N073_02-00-07_ph,N073_02-00-06,N073_02-00-06_ph,N073_02-00-04,N073_02-00-04_ph,N073_02-00-05,N073_02-00-05_ph,N073_02-00-01,N073_02-00-01_ph,N073_02-00-00,N073_02-00-00_ph,N073_02-00-02,N073_02-00-02_ph,N073_02-00-03,N073_02-00-03_ph,N073_02-00-08,N073_02-00-08_ph,R138_00-03-06,R138_00-03-06_ph,R138_00-03-07,R138_00-03-07_ph,R138_00-03-05,R138_00-03-05_ph,R138_00-03-04,R138_00-03-04_ph,R138_00-03-00,R138_00-03-00_ph,R138_00-03-01,R138_00-03-01_ph,R138_00-03-03,R138_00-03-03_ph,R138_00-03-02,R138_00-03-02_ph,R138_00-05-01,R138_00-05-01_ph,R138_00-05-00,R138_00-05-00_ph,R138_00-00-01,R138_00-00-01_ph,R138_00-02-04,R138_00-02-04_ph,R138_00-02-05,R138_00-02-05_ph,R138_00-00-00,R138_00-00-00_ph,R138_00-00-02,R138_00-00-02_ph,R138_00-00-03,R138_00-00-03_ph,R138_00-02-02,R138_00-02-02_ph,R138_00-02-03,R138_00-02-03_ph,R138_00-00-04,R138_00-00-04_ph,R138_00-02-01,R138_00-02-01_ph,R138_00-02-00,R138_00-02-00_ph,R138_00-06-00,R138_00-06-00_ph,R138_00-03-09,R138_00-03-09_ph,R138_00-03-08,R138_00-03-08_ph
2021-05-24 00:00:00,113.0,28.25,116.0,29.0,80.0,20.0,127.0,31.75,118.0,29.5,118.0,29.5,,,,,32.0,8.0,69.0,17.25,32.0,8.0,31.0,7.75,69.0,17.25,47.0,11.75,,,84.0,21.0,,,,,0.0,0.0,0.0,0.0,4.0,1.0,22.0,5.5,32.0,8.0,49.0,12.25,0.0,0.0,0.0,0.0,42.0,10.5,86.0,21.5,39.0,9.75,32.0,8.0,74.0,18.5,78.0,19.5,26.0,6.5,106.0,26.5,74.0,18.5,89.0,22.25,96.0,24.0,76.0,19.0,100.0,25.0,33.0,8.25,45.0,11.25,65.0,16.25,,,6.0,1.5,41.0,10.25,27.0,6.75,32.0,8.0,22.0,5.5,61.0,15.25,,,,,,,,,,,,,,,,,1.0,0.25,38.0,9.5,23.0,5.75,34.0,8.5,13.0,3.25,24.0,6.0,46.0,11.5,35.0,8.75,17.0,4.25,3.0,0.75,33.0,8.25,43.0,10.75,24.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,8.5,0.0,-2.5,7.0,1.75,15.0,3.75,11.0,2.75,0.0,0.0,0.0,0.0,91.0,22.75,22.0,5.5,9.0,2.25,81.0,20.25,96.0,24.0,82.0,20.5,44.0,11.0,28.0,7.0,65.0,16.25,39.0,9.75,67.0,16.75,15.0,3.75,,,,
2021-05-24 04:00:00,5.0,1.25,6.0,1.5,1.0,0.25,1.0,0.25,1.0,0.25,4.0,1.0,,,,,8.0,2.0,13.0,3.25,0.0,0.0,1.0,0.25,4.0,1.0,2.0,0.5,,,3.0,0.75,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,5.0,1.25,6.0,1.5,0.0,0.0,0.0,0.0,4.0,1.0,12.0,3.0,8.0,2.0,7.0,1.75,12.0,3.0,17.0,4.25,0.0,0.0,14.0,3.5,7.0,1.75,15.0,3.75,5.0,1.25,7.0,1.75,5.0,1.25,0.0,0.0,3.0,0.75,10.0,2.5,,,0.0,0.0,7.0,1.75,7.0,1.75,6.0,1.5,2.0,0.5,6.0,1.5,,,,,,,,,,,,,,,,,0.0,0.0,7.0,1.75,4.0,1.0,6.0,1.5,0.0,0.0,5.0,1.25,4.0,1.0,5.0,1.25,3.0,0.75,0.0,0.0,9.0,2.25,5.0,1.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.25,0.0,-1.75,9.0,2.25,10.0,2.5,5.0,1.25,0.0,0.0,0.0,0.0,32.0,8.0,12.0,3.0,6.0,1.5,36.0,9.0,37.0,9.25,40.0,10.0,32.0,8.0,13.0,3.25,43.0,10.75,20.0,5.0,54.0,13.5,3.0,0.75,,,,
2021-05-24 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-106800.0,0.0,-1524707.0,0.0,-225916.25,0.0,-1374997.0,0.0,2239469.75,0.0,2354190.5,6109.0,5.526990963514028,16412.0,14.848416384546116,25765.0,23.310349021924853,27223.0,24.62944426252126,19045.0,17.23056848913483,32185.0,29.11871078092961,24409.0,22.083536164415438,30436.0,27.536339329761493,2.0,0.5,19.0,4.75,15.0,3.75,35.0,8.75,23.0,5.75,52.0,13.0,104.0,26.0,86.0,21.5,37.0,9.25,1.0,0.25,67.0,16.75,103.0,25.75,37.0,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,36.0,0.0,-28.5,88.0,22.0,93.0,23.25,101.0,25.25,0.0,0.0,0.0,0.0,458.0,114.5,158.0,39.5,121.0,30.25,415.0,103.75,484.0,121.0,430.0,107.5,261.0,65.25,226.0,56.5,403.0,100.75,252.0,63.0,461.0,115.25,26.0,6.5,,,,
2021-05-24 11:47:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,112836.09684519442,0.0,1610853.9398385913,0.0,238687.39545121056,0.0,1452683.7270726338,0.0,-2365970.4475421864,0.0,-2487159.1782831987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24 12:00:00,269.0,33.625,268.0,33.5,197.0,24.625,315.0,39.375,251.0,31.375,292.0,36.5,,,,,86.0,10.75,223.0,27.875,112.0,14.0,121.0,15.125,257.0,32.125,206.0,25.75,,,251.0,31.375,,,,,0.0,0.0,0.0,0.0,22.0,2.75,108.0,13.5,61.0,7.625,126.0,15.75,0.0,0.0,0.0,0.0,70.0,8.75,98.0,12.25,42.0,5.25,53.0,6.625,118.0,14.75,78.0,9.75,8.0,1.0,95.0,11.875,129.0,16.125,413.0,51.625,462.0,57.75,448.0,56.0,458.0,57.25,187.0,23.375,291.0,36.375,389.0,48.625,,,3.0,14.025974025974026,5.0,23.376623376623378,3.0,14.025974025974026,3.0,14.025974025974026,3.0,14.025974025974026,7.0,32.72727272727273,,,,,,,,,,,,,,,,,6.0,1.5,106.0,26.5,84.0,21.0,116.0,29.0,37.0,9.25,53.0,13.25,107.0,26.75,79.0,19.75,30.0,7.5,3.0,0.75,54.0,13.5,82.0,20.5,42.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,23.25,0.0,-11.5,40.0,10.0,69.0,17.25,78.0,19.5,0.0,0.0,0.0,0.0,225.0,56.25,45.0,11.25,61.0,15.25,168.0,42.0,214.0,53.5,153.0,38.25,85.0,21.25,71.0,17.75,181.0,45.25,116.0,29.0,149.0,37.25,52.0,13.0,,,,
2021-05-24 16:00:00,132.0,33.0,137.0,34.25,95.0,23.75,163.0,40.75,133.0,33.25,160.0,40.0,,,,,28.0,7.0,67.0,16.75,54.0,13.5,42.0,10.5,128.0,32.0,80.0,20.0,,,96.0,24.0,,,,,0.0,0.0,0.0,0.0,30.0,7.5,109.0,27.25,130.0,32.5,184.0,46.0,0.0,0.0,0.0,0.0,114.0,28.5,169.0,42.25,85.0,21.25,89.0,22.25,180.0,45.0,89.0,22.25,26.0,6.5,99.0,24.75,77.0,19.25,118.0,29.5,103.0,25.75,102.0,25.5,136.0,34.0,45.0,11.25,48.0,12.0,94.0,23.5,,,20.0,5.0,95.0,23.75,46.0,11.5,85.0,21.25,62.0,15.5,174.0,43.5,,,,,,,,,,,,,,,,,13.0,3.25,181.0,45.25,109.0,27.25,134.0,33.5,31.0,7.75,52.0,13.0,68.0,17.0,55.0,13.75,25.0,6.25,5.0,1.25,48.0,12.0,58.0,14.5,37.0,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
