Remote,Booth,Station,Line Name,Division,Complex
R001,A060,WHITEHALL ST,R1,BMT,635
R001,A058,WHITEHALL ST,R1,BMT,635
R001,R101S,SOUTH FERRY,R1,IRT,635
R002,A077,FULTON ST,ACJZ2345,BMT,628
R002,A081,FULTON ST,ACJZ2345,BMT,628
R002,A082,FULTON ST,ACJZ2345,BMT,628
R003,J025,CYPRESS HILLS,J,BMT,86
R004,J028,ELDERTS LANE,JZ,BMT,85
R005,J030,FOREST PARKWAY,J,BMT,84
R006,J031,WOODHAVEN BLVD,JZ,BMT,83
R006,J032,WOODHAVEN BLVD,JZ,BMT,83
R007,J034,104 ST,JZ,BMT,82
R008,J035,111 ST,J,BMT,81
R009,J037,121 ST,JZ,BMT,80
R010,N062A,42 ST-PA BUS TE,ACENQRS1237,IND,611
R010,N060,42 ST-PA BUS TE,ACENQRS1237,IND,611
R011,N063A,42 ST-PA BUS TE,ACENQRS1237,IND,611
R011,N062,42 ST-PA BUS TE,ACENQRS1237,IND,611
R011,N063,42 ST-PA BUS TE,ACENQRS1237,IND,611
R012,N067,34 ST-PENN STA,ACE,IND,164
R012,N065,34 ST-PENN STA,ACE,IND,164
R012,N068,34 ST-PENN STA,ACE,IND,164
R012,N070,34 ST-PENN STA,ACE,IND,164
R012,N072,34 ST-PENN STA,ACE,IND,164
R013,N071,34 ST-PENN STA,ACE,IND,164
R013,N069,34 ST-PENN STA,ACE,IND,164
R013,N073,34 ST-PENN STA,ACE,IND,164
R014,N095,FULTON ST,ACJZ2345,IND,628
R014,R205,FULTON ST,ACJZ2345,IRT,628
R014,R206,FULTON ST,2345ACJZ,IRT,628
R014,R208,FULTON ST,2345ACJZ,IRT,628
R014,R205A,FULTON ST,2345ACJZ,IRT,628
R015,N303,5 AVE-53 ST,EM,IND,276
R015,N304,5 AVE-53 ST,EM,IND,276
R016,N305A,LEXINGTON-53 ST,EM6,IND,612
R017,N306,LEXINGTON-53 ST,EM6,IND,612
R017,N305,LEXINGTON-53 ST,EM6,IND,612
R018,N324,ROOSEVELT AVE,EFMR7,IND,616
R018,N323,ROOSEVELT AVE,EFMR7,IND,616
R018,R525,74 ST-BROADWAY,EFMR7,IRT,616
R019,N343,JAMAICA-179 ST,F,IND,254
R019,N342,JAMAICA-179 ST,F,IND,254
R020,N500,47-50 ST-ROCK,BDFM,IND,225
R020,N501,47-50 ST-ROCK,BDFM,IND,225
R020,N501A,47-50 ST-ROCK,BDFM,IND,225
R021,N503,42 ST-BRYANT PK,BDFM7,IND,609
R021,N502,42 ST-BRYANT PK,BDFM7,IND,609
R021,N504,42 ST-BRYANT PK,BDFM7,IND,609
R022,N506,34 ST-HERALD SQ,BDFMNQR,IND,607
R022,A022,34 ST-HERALD SQ,BDFMNQR,BMT,607
R022,N505,34 ST-HERALD SQ,BDFMNQR,IND,607
R023,N507,34 ST-HERALD SQ,BDFMNQR,IND,607
R023,A025,34 ST-HERALD SQ,BDFMNQR,BMT,607
R024,N605,SUTPHIN BLVD,EJZ,IND,279
R025,N606,JAMAICA CENTER,EJZ,IND,278
R025,N607,JAMAICA CENTER,EJZ,IND,278
R027,R111,WALL ST,23,IRT,333
R027,R110,WALL ST,23,IRT,333
R027,R112,WALL ST,23,IRT,333
R027,R112A,WALL ST,23,IRT,333
R028,R113A,FULTON ST,2345ACJZ,IRT,628
R028,R113,FULTON ST,2345ACJZ,IRT,628
R028,R114,FULTON ST,2345ACJZ,IRT,628
R029,R115,PARK PLACE,23ACE,IRT,624
R029,N094,WORLD TRADE CTR,23ACE,IND,624
R029,N091,CHAMBERS ST,ACE23,IND,624
R029,N092,CHAMBERS ST,ACE23,IND,624
R030,R116,CHAMBERS ST,123,IRT,327
R031,R141,34 ST-PENN STA,123,IRT,318
R031,R135,34 ST-PENN STA,123,IRT,318
R031,R137,34 ST-PENN STA,123,IRT,318
R031,R139,34 ST-PENN STA,123,IRT,318
R032,R145,42 ST-TIMES SQ,1237ACENQRS,IRT,611
R032,A021,42 ST-TIMES SQ,1237ACENQRS,BMT,611
R032,R143,42 ST-TIMES SQ,ACENQRS1237,IRT,611
R032,R146,42 ST-TIMES SQ,1237ACENQRS,IRT,611
R033,R151,42 ST-TIMES SQ,1237ACENQRS,IRT,611
R033,R148,42 ST-TIMES SQ,1237ACENQRS,IRT,611
R033,R150,42 ST-TIMES SQ,1237ACENQRS,IRT,611
R033,R153,42 ST-TIMES SQ,1237ACENQRS,IRT,611
R033,R147,42 ST-TIMES SQ,1237ACENQRS,IRT,611
R034,R174,125 ST,1,IRT,306
R035,R182,168 ST-BROADWAY,1AC,IRT,605
R035,N012,168 ST-BROADWAY,1AC,IND,605
R035,N013,168 ST-BROADWAY,AC1,IND,605
R036,R186,DYCKMAN ST,1,IRT,299
R037,R188,207 ST,1,IRT,298
R038,R190,215 ST,1,IRT,297
R039,R192,MARBLE HILL-225,1,IRT,296
R040,R194,231 ST,1,IRT,295
R041,R201,BOWLING GREEN,45,IRT,414
R041,R200A,BOWLING GREEN,45,IRT,414
R042,R202,BOWLING GREEN,45,IRT,414
R043,R203,WALL ST,45,IRT,413
R043,R203A,WALL ST,45,IRT,413
R043,R204,WALL ST,45,IRT,413
R043,R204A,WALL ST,45,IRT,413
R044,R210,BROOKLYN BRIDGE,456JZ,IRT,622
R044,A069,CHAMBERS ST,456JZ,BMT,622
R044,A071,CHAMBERS ST,JZ456,BMT,622
R044,R210A,BROOKLYN BRIDGE,JZ456,IRT,622
R045,R236,42 ST-GRD CNTRL,4567S,IRT,610
R045,R233,42 ST-GRD CNTRL,4567S,IRT,610
R046,R238,42 ST-GRD CNTRL,4567S,IRT,610
R046,R237,42 ST-GRD CNTRL,4567S,IRT,610
R046,R238A,42 ST-GRD CNTRL,4567S,IRT,610
R047,R240,42 ST-GRD CNTRL,4567S,IRT,610
R047,R237B,42 ST-GRD CNTRL,4567S,IRT,610
R048,R241A,42 ST-GRD CNTRL,4567S,IRT,610
R049,R243,51 ST,6,IRT,612
R049,R242,51 ST,6,IRT,612
R049,R242A,51 ST,6,IRT,612
R050,R244,59 ST,456NQR,IRT,613
R050,R244A,59 ST,456NQR,IRT,613
R050,A004,LEXINGTON AVE,456NQR,BMT,613
R051,R245,59 ST,456NQR,IRT,613
R051,R245A,59 ST,456NQR,IRT,613
R051,A002,LEXINGTON AVE,456NQR,BMT,613
R052,R294,WOODLAWN ROAD,4,IRT,378
R053,R311,149 ST-3 AVE,25,IRT,434
R053,R310,149 ST-3 AVE,25,IRT,434
R054,R501,5 AVE-BRYANT PK,7BDFM,IRT,609
R054,R500,5 AVE-BRYANT PK,7BDFM,IRT,609
R055,R533,MAIN ST,7,IRT,447
R055,R534,MAIN ST,7,IRT,447
R056,R608,NEVINS ST,2345,IRT,337
R056,R609,NEVINS ST,2345,IRT,337
R057,R610,ATLANTIC AVE,2345BDNQR,IRT,617
R057,B001,ATLANTIC AVE,2345BDNQR,BMT,617
R057,B002,ATLANTIC AVE,BDNQR2345,BMT,617
R057,C009,PACIFIC ST,BDNQR2345,BMT,617
R058,R617,BERGEN ST,23,IRT,339
R058,R618,BERGEN ST,23,IRT,339
R059,R619,GRAND ARMY PLAZ,23,IRT,340
R060,R621,EASTERN PKWY,23,IRT,341
R061,R623,NOSTRAND AVE,3,IRT,343
R062,R626,CROWN HTS-UTICA,34,IRT,345
R062,R625,CROWN HTS-UTICA,34,IRT,345
R063,R627,SUTTER AVE,3,IRT,346
R064,R628,SARATOGA AVE,3,IRT,347
R065,R629,ROCKAWAY AVE,3,IRT,348
R066,R630,JUNIUS ST,3,IRT,349
R067,R632,PENNSYLVANIA AV,3,IRT,350
R068,R633,VAN SICLEN AVE,3,IRT,351
R069,R634,NEW LOTS AVE,3,IRT,352
R070,S101,ST. GEORGE,1,SRT,501
R070,S101A,ST. GEORGE,1,SRT,501
R076,MCC07,2 BDWY CUST SRV,45,IRT,414
R079,A006,5 AVE-59 ST,NQR,BMT,8
R079,A007,5 AVE-59 ST,NQR,BMT,8
R080,A010,57 ST-7 AVE,NQR,BMT,9
R080,A011,57 ST-7 AVE,NQR,BMT,9
R081,A015,49 ST-7 AVE,NQR,BMT,10
R081,A013,49 ST-7 AVE,NQR,BMT,10
R081,A014,49 ST-7 AVE,NQR,BMT,10
R081,A016,49 ST-7 AVE,NQR,BMT,10
R082,A029,28 ST-BROADWAY,NR,BMT,13
R082,A027,28 ST-BROADWAY,NR,BMT,13
R083,A031,23 ST-5 AVE,NR,BMT,14
R083,A030,23 ST-5 AVE,NR,BMT,14
R084,R158,59 ST-COLUMBUS,1ABCD,IRT,614
R084,N049,59 ST-COLUMBUS,1ABCD,IND,614
R084,N051,59 ST-COLUMBUS,ABCD1,IND,614
R085,A038,8 ST-B'WAY NYU,NR,BMT,16
R085,A039,8 ST-B'WAY NYU,NR,BMT,16
R086,A041,PRINCE ST-B'WAY,NR,BMT,17
R086,A042,PRINCE ST-B'WAY,NR,BMT,17
R087,A047,MURRAY ST-B'WAY,R,BMT,20
R088,A050,CORTLANDT ST,R,BMT,624
R088,A052,CORTLANDT ST,R,BMT,624
R088,A051,CORTLANDT ST,R,BMT,624
R088,A053,CORTLANDT ST,R,BMT,624
R089,C003,JAY ST-METROTEC,R,BMT,636
R089,C004,JAY ST-METROTEC,R,BMT,636
R090,R510,BEEBE-39 AVE,NQ,BMT,6
R091,R511,WASHINGTON-36 A,NQ,BMT,5
R092,R512,BROADWAY-31 ST,NQ,BMT,4
R093,R513,GRAND-30 AVE,NQ,BMT,3
R094,R514,HOYT ST-ASTORIA,NQ,BMT,2
R095,R515,DITMARS BL-31 S,NQ,BMT,1
R096,R526,82 ST-JACKSON H,7,IRT,453
R097,R528,JUNCTION BLVD,7,IRT,451
R098,B016,CHURCH AVE,BQ,BMT,44
R098,B015,CHURCH AVE,BQ,BMT,44
R099,C008,DEKALB AVE,BDNQR,BMT,26
