Complex ID,Borough,GTFS Latitude,GTFS Longitude,modzcta
1,Q,40.775036,-73.912034,11105
2,Q,40.770258,-73.917843,11102
3,Q,40.766779,-73.921479,11102
4,Q,40.76182,-73.925508,11106
5,Q,40.756804,-73.929575,11106
6,Q,40.752882,-73.932755,11101
8,M,40.764811,-73.973347,99999
9,M,40.764664,-73.980658,10019
10,M,40.759901,-73.984139,10019
13,M,40.745494,-73.988691,10001
14,M,40.741303,-73.989344,10010
16,M,40.730328,-73.992629,10003
17,M,40.724329,-73.997702,10012
20,M,40.713282,-74.006978,10007
22,M,40.70722,-74.013342,10006
26,Bk,40.690635,-73.981824,11201
28,Bk,40.677316,-73.98311,11215
30,Bk,40.665414,-73.992872,11215
31,Bk,40.660397,-73.998091,11232
32,Bk,40.655144,-74.003549,11232
33,Bk,40.648939,-74.010006,11220
34,Bk,40.645069,-74.014034,11220
35,Bk,40.641362,-74.017881,11220
36,Bk,40.634967,-74.023377,11220
37,Bk,40.629742,-74.02551,11209
38,Bk,40.622687,-74.028398,11209
39,Bk,40.616622,-74.030876,11209
41,Bk,40.67705,-73.972367,11217
42,Bk,40.661614,-73.962246,11225
43,Bk,40.655292,-73.961495,11225
44,Bk,40.650527,-73.962982,11226
45,Bk,40.644031,-73.964492,11226
46,Bk,40.640927,-73.963891,11226
47,Bk,40.635082,-73.962793,11226
48,Bk,40.62927,-73.961639,11230
49,Bk,40.625039,-73.960803,11230
50,Bk,40.617618,-73.959399,11230
51,Bk,40.60867,-73.957734,11229
52,Bk,40.5993,-73.955929,11229
53,Bk,40.595246,-73.955161,11229
54,Bk,40.586896,-73.954155,11235
55,Bk,40.577621,-73.961376,11235
56,Bk,40.576312,-73.968501,11235
57,Bk,40.576127,-73.975939,11224
58,Bk,40.577422,-73.981233,11224
59,Bk,40.646292,-73.994324,11219
60,Bk,40.640914,-73.994304,11219
61,Bk,40.63626,-73.994791,11219
62,Bk,40.631435,-73.995476,11219
64,Bk,40.619589,-73.998864,11228
65,Bk,40.613501,-74.00061,11214
66,Bk,40.607954,-74.001736,11214
67,Bk,40.604556,-73.998168,11214
68,Bk,40.601875,-73.993728,11214
69,Bk,40.597704,-73.986829,11214
70,Bk,40.588841,-73.983765,11223
71,Bk,40.635064,-74.011719,11220
72,Bk,40.631386,-74.005351,11219
74,Bk,40.620671,-73.990414,11204
75,Bk,40.61741,-73.985026,11204
